"trip_id","start_day","end_day","n_days","start_hour","end_hour","place","item","detail"
Atacama_Trip_Web,1,5,4,,,san-pedro-de-atacama,accommodation,Casa Don Tomas pieza doble
Atacama_Trip_Web,1,1,0,"14:00","15:30",san-pedro-de-atacama,transport,Transfer from Calama airport to Hotel San Pedro de Atacama
Atacama_Trip_Web,1,1,0,"16:00","20:00",san-pedro-de-atacama,activity,Vallecito tour with sunset cocktail
Atacama_Trip_Web,2,2,0,"07:00","13:00",san-pedro-de-atacama,activity,Altiplanics Lagoons Tour
Atacama_Trip_Web,3,3,0,"06:30","12:00",san-pedro-de-atacama,activity,Tatio Geyser and lagoon hike tour
Atacama_Trip_Web,4,4,0,"07:00","13:00",san-pedro-de-atacama,activity,Legia Hike con Petrogrifos (privado)
Atacama_Trip_Web,4,4,0,"21:00","23:30",san-pedro-de-atacama,activity,Tour Astronomico (Hemisferio Sur)
Atacama_Trip_Web,5,5,0,"12:00","13:30",san-pedro-de-atacama,transport,Transfer from Hotel San Pedro de Atacama to Calama airport
Chile_Argentina_Wine_Valleys_Web,1,7,6,,,santiago,insurance,Insurance 
Chile_Argentina_Wine_Valleys_Web,1,1,0,,,santiago,transport,Round trip transfer from Santiago to Casa Blanca Wine Valley
Chile_Argentina_Wine_Valleys_Web,1,1,0,,,santiago,transport,Transfer from Airport to Hotel
Chile_Argentina_Wine_Valleys_Web,1,2,1,,,santiago,accommodation,Director Hotel - Vitacura neighborhood
Chile_Argentina_Wine_Valleys_Web,1,1,0,"13:30","16:00",casa-blanca,activity,Tour and Lunch Wine tasting experience
Chile_Argentina_Wine_Valleys_Web,2,4,2,,,colchagua,accommodation,Double room Casa Campo Hotel
Chile_Argentina_Wine_Valleys_Web,2,2,0,"10:30","12:30",colchagua,culinary_experience,Icon Tour Montes Vineyard
Chile_Argentina_Wine_Valleys_Web,2,2,0,"12:30","15:00",colchagua,culinary_experience,Fuegos de Apalta Culinary Experience
Chile_Argentina_Wine_Valleys_Web,2,2,0,"8:00","10:30",santa-cruz,transport,Transfer from Santiago Hotel to Santa Cruz Valley and vineyards
Chile_Argentina_Wine_Valleys_Web,3,3,0,"13:30","16:30",colchagua,activity,Tour + Lunch La Estampa Vineyard
Chile_Argentina_Wine_Valleys_Web,4,7,3,,,mendoza,accommodation,Hotel Raices Aconcagua Pieza Superior
Chile_Argentina_Wine_Valleys_Web,4,4,0,"13:45","14:50",mendoza,flight,Flight from Santiago to Mendoza
Chile_Argentina_Wine_Valleys_Web,4,4,0,"15:15",,mendoza,transport,Aeropuerto a Centro Mendoza
Chile_Argentina_Wine_Valleys_Web,4,4,0,"8:45","11:00",santa-cruz,transport,Transfer from Santa Cruz Hotel to Santiago
Chile_Argentina_Wine_Valleys_Web,5,5,0,"12:20","13:00",mendoza,transport,Transfer from Mendoza to Vineyard
Chile_Argentina_Wine_Valleys_Web,5,5,0,"13:00","14:00",mendoza,activity,Antigal Vineyard tour
Chile_Argentina_Wine_Valleys_Web,5,5,0,"14:00","16:00",mendoza,activity,Antigal Vineyard Culinary experience
Chile_Argentina_Wine_Valleys_Web,6,6,0,,,mendoza,transport,Transfer from Mendoza to Vineyard
